feat,imp
model,453
ratio_click_of_nnt_in_model,306
ratio_click_of_osv_in_model,220
city,219
osv,214
inner_slot_id,174
ratio_click_of_carrier_in_model,169
ratio_click_of_osv_in_make,158
ratio_click_of_creative_height_in_model,149
app_id,144
ratio_click_of_nnt_in_city,139
ratio_click_of_make_in_model,139
ratio_click_of_app_cate_id_in_model,132
ratio_click_of_creative_type_in_model,127
ratio_click_of_carrier_in_city,125
adid,124
ratio_click_of_f_channel_in_model,121
orderid,121
day,120
ratio_click_of_app_cate_id_in_city,118
ratio_click_of_creative_tp_dnf_in_model,117
ratio_click_of_make_in_osv,117
creative_id,117
hour,111
ratio_click_of_province_in_model,109
ratio_click_of_creative_type_in_city,109
ratio_click_of_app_id_in_model,104
ratio_click_of_advert_industry_inner_in_model,104
ratio_click_of_f_channel_in_city,94
ratio_click_of_app_cate_id_in_province,92
ratio_click_of_hour_in_adid,89
ratio_click_of_creative_height_in_city,89
ratio_click_of_model_in_osv,89
ratio_click_of_creative_width_in_model,88
ratio_click_of_advert_industry_inner_in_city,87
ratio_click_of_nnt_in_osv,85
ratio_click_of_creative_is_download_in_model,84
ratio_click_of_nnt_in_hour,84
ratio_click_of_app_cate_id_in_make,83
ratio_click_of_os_in_city,83
ratio_click_of_osv_in_inner_slot_id,82
ratio_click_of_nnt_in_creative_id,81
ratio_click_of_creative_type_in_make,78
ratio_click_of_f_channel_in_province,78
ratio_click_of_app_id_in_city,76
ratio_click_of_app_id_in_app_cate_id,75
ratio_click_of_nnt_in_inner_slot_id,75
make,75
ratio_click_of_osv_in_creative_id,75
ratio_click_of_app_cate_id_in_osv,75
ratio_click_of_creative_tp_dnf_in_city,74
ratio_click_of_nnt_in_province,74
creative_type,74
ratio_click_of_orderid_in_model,74
ratio_click_of_orderid_in_inner_slot_id,73
ratio_click_of_city_in_province,73
ratio_click_of_inner_slot_id_in_model,71
ratio_click_of_nnt_in_adid,70
ratio_click_of_hour_in_orderid,69
ratio_click_of_hour_in_model,69
ratio_click_of_adid_in_inner_slot_id,67
ratio_click_of_osv_in_app_id,67
ratio_click_of_make_in_city,67
ratio_click_of_make_in_adid,67
ratio_click_of_make_in_app_id,67
ratio_click_of_adid_in_app_id,65
ratio_click_of_advert_industry_inner_in_app_id,65
ratio_click_of_osv_in_adid,65
ratio_click_of_advert_industry_inner_in_inner_slot_id,65
ratio_click_of_adid_in_model,64
ratio_click_of_osv_in_city,64
ratio_click_of_creative_id_in_model,64
ratio_click_of_creative_width_in_city,63
ratio_click_of_campaign_id_in_inner_slot_id,63
ratio_click_of_app_cate_id_in_hour,63
ratio_click_of_advert_id_in_hour,63
ratio_click_of_adid_in_creative_id,63
ratio_click_of_hour_in_app_id,62
ratio_click_of_orderid_in_app_id,61
ratio_click_of_advert_id_in_app_id,60
ratio_click_of_make_in_creative_id,60
ratio_click_of_creative_height_in_osv,59
ratio_click_of_model_in_make,59
ratio_click_of_province_in_make,59
ratio_click_of_creative_height_in_province,59
ratio_click_of_nnt_in_make,59
ratio_click_of_creative_type_in_province,58
ratio_click_of_carrier_in_make,58
ratio_click_of_creative_type_in_osv,57
ratio_click_of_creative_height_in_make,57
ratio_click_of_advert_id_in_model,56
ratio_click_of_carrier_in_osv,56
ratio_click_of_app_cate_id_in_creative_id,56
ratio_click_of_province_in_creative_id,55
ratio_click_of_creative_height_in_app_cate_id,54
ratio_click_of_creative_tp_dnf_in_osv,54
ratio_click_of_f_channel_in_osv,54
ratio_click_of_advert_id_in_inner_slot_id,54
ratio_click_of_inner_slot_id_in_app_id,52
ratio_click_of_creative_tp_dnf_in_hour,51
ratio_click_of_osv_in_app_cate_id,51
ratio_click_of_carrier_in_province,51
ratio_click_of_creative_id_in_app_id,51
ratio_click_of_os_in_province,50
ratio_click_of_campaign_id_in_model,50
ratio_click_of_creative_id_in_osv,50
ratio_click_of_advert_industry_inner_in_osv,50
ratio_click_of_inner_slot_id_in_app_cate_id,49
ratio_click_of_province_in_inner_slot_id,49
ratio_click_of_advert_id_in_city,49
ratio_click_of_creative_tp_dnf_in_creative_width,49
ratio_click_of_osv_in_orderid,49
ratio_click_of_app_id_in_osv,48
ratio_click_of_creative_id_in_city,48
ratio_click_of_creative_type_in_hour,48
ratio_click_of_creative_width_in_hour,48
ratio_click_of_creative_id_in_inner_slot_id,47
ratio_click_of_make_in_inner_slot_id,47
ratio_click_of_creative_width_in_app_id,47
ratio_click_of_creative_height_in_hour,47
ratio_click_of_hour_in_creative_id,46
ratio_click_of_creative_tp_dnf_in_app_id,45
ratio_click_of_app_id_in_make,45
ratio_click_of_make_in_app_cate_id,45
ratio_click_of_nnt_in_orderid,45
ratio_click_of_city_in_model,44
ratio_click_of_creative_id_in_app_cate_id,43
ratio_click_of_carrier_in_creative_id,43
ratio_click_of_make_in_orderid,42
ratio_click_of_orderid_in_creative_id,42
ratio_click_of_advert_industry_inner_in_province,42
ratio_click_of_creative_is_download_in_city,41
ratio_click_of_make_in_province,41
